PDF,Type,Title,Authors,Mentor TA,Award
Aaditya Shah Karthik Pythireddi Jonathan Manfu Lu submission_416284827/CS_224R_Final_Report__2_.pdf,Custom,RECAP-Ψ: Advantage-Conditioned Fine-Tuning for Open-Source Humanoid VLAs,"Aaditya Shah, Karthik Pythireddi, Jonathan Manfu Lu",Joonwon Kang,
Aarohi Gupta submission_416235005/cs224R_final_paper.pdf,Default,Where RLOO Stops on Countdown: A Capability Ceiling at the Additive ↔ Multiplicative Boundary,Aarohi Gupta,Abhijnya Bhat,
Abhinav Sattiraju Samrat Sahoo submission_416116219/CS_224R___Final_Report-2.pdf,Custom,MIRAGE: Model Imagined Reachability for Augmented Graph Expansion,"Abhinav Sattiraju, Samrat Sahoo",Ifdita Hasan Orney,
Abhishek Bharani submission_416136219/cs224r_final.pdf,Default,Systems-Aware Off-Policy RLOO: Amortizing Sampling Cost via K-Reuse,Abhishek Bharani,Abhijnya Bhat,
Abraham Yeung Anagha Ramaswamy submission_416276999/report.pdf,Default,Reading vs. Writing a Near-Oracle Internal Verifier: How RL Design Determines Whether a Correctness Probe Is Safe,"Abraham Yeung, Anagha Ramaswamy",Anubha Mahajan,Honorable
Aditya Bora submission_416257309/Aditya_Bora_CS224R_Final_Paper.pdf,Custom,Learning Adaptive Tutor Policies for Conversational Language Learning via Offline Reinforcement Learning,Aditya Bora,Anubha Mahajan,
Agam Iheanyi-Igwe Olatayo Anthony Sobomehin submission_416288534/FinalCS224R_Report.pdf,Default,Adaptive Curriculum Learning for Reinforcement-Trained Reasoning,"Agam Iheanyi-Igwe, Olatayo Anthony Sobomehin",Riya Karumanchi,
Ahmed Sherif Ahmed Elbakry Mohamed submission_416130057/CS224R_Report.pdf,Default,Dense Rewards for RLVR on Countdown via ASTs,Ahmed Sherif Ahmed Elbakry Mohamed,Ke Wang,
Aizada Nurdinova Ellie Sampson Adhi Daiv submission_416275011/CS224R_Final_report__2_.pdf,Default,SFT Augmentation and Replay-Based RL for Countdown Reasoning,"Aizada Nurdinova, Ellie Sampson, Adhi Daiv",Anikait Singh,Outstanding
Akshar Sarvesh submission_416342530/cs224r_final_report_2025a.pdf,Default,Preference Optimization and Curriculum RLOO for Countdown Reasoning,Akshar Sarvesh,Yash Kankariya,
Alan Zhao Juhyun Jung submission_416278468/final_project_report.pdf,Custom,Frequency Reparameterization and Anchored Residuals for Flow Matching Robot Policies,"Alan Zhao, Juhyun Jung",Joonwon Kang,
Albert Kui Lin submission_416236706/CS224R_Final_Report.pdf,Custom,Improving Fine-Grained Manipulation by World Action Models via Online World Model-Based Feedback Planning,Albert Kui Lin,Tyler Lum,
Alex Li Cheney Sang Aidan Whitedeer submission_416286475/CS224RPaper_updated__1_.pdf,Custom,Parallel Deep-RL Agents for Roblox Obstacle-Course Navigation: From Single-Course Memorization to Generalizing Across Procedurally-Composed Courses,"Alex Li, Cheney Sang, Aidan Whitedeer",Joonwon Kang,
Alex Lin Wang Dario Gaitzi Soatto submission_416333815/MiniHedgemony__Asymmetric_Reward_Structures_in_Self_Play_Wargames.pdf,Custom,MiniHedgemony: Asymmetric Reward Structures in Self-Play Wargames,"Alex Lin Wang, Dario Gaitzi Soatto",Tian Gao,
Alex Lopez Kevin Rizk Fred Rajasekaran submission_416288218/CS224R_Final_Project.pdf,Custom,Improving Lean Premise Retrieval via RL and Distillation,"Alex Lopez, Kevin Rizk, Fred Rajasekaran",Tyler Lum,
Alfred Sven Bertil Sjoeqivst Hana Mengyao Liu submission_416271147/CS224R_Final_Report_Hana_Liu_Alfred_Sjoqvist.pdf,Custom,How Does Scaffolding Affect Cross-Environment Generalization in LLM RL Fine-Tuning?,"Alfred Sven Bertil Sjoeqivst, Hana Mengyao Liu",Alex Nam,
Amrita Malhotra Giselle Rivera Zofia Dudek submission_416287379/CS224R_Final_Project_Report.pdf,Default,Can Teacher-Generated Curriculum Strategies Improve LLM Reasoning?,"Amrita Malhotra, Giselle Rivera, Zofia Dudek",Anikait Singh,
Amulya Parthasarathy submission_416142385/CS224R_RLOO_replay_Final_Project_report_12.pdf,Default,How Much Stale Rollout Reuse Can Verifier-Based RLOO Tolerate? A Semi-Off-Policy Replay Study on Countdown Reasoning,Amulya Parthasarathy,Max Du,
Andrea Ji Woo Nam Song submission_416288321/CS224R_Final_Report.pdf,Default,Adaptive Test-Time Sampling for RL-Fine-Tuned Reasoning Policies,Andrea Ji Woo Nam Song,Anikait Singh,
Andres Ernesto Garcia Prakash Koukuntla Joshua Hsieh submission_416266868/Targeted_Counterfactual_Branching_for_Tool_Invocation_Decisions_in_RL_Fine_Tuning__1_.pdf,Default,Targeted Counterfactual Branching for Tool-Invocation Decisions in RL Fine-Tuning,"Andres Ernesto Garcia, Prakash Koukuntla, Joshua Hsieh",Riya Karumanchi,
Andres Felipe Restrepo submission_416172045/CS224R_Project_Final_Report__1_.pdf,Custom,"Reproducible Top-K PPO for S&P 500 Portfolio Selection: Risk-Adjusted Gains, Seed Variance, and the Limits of Return-Maximizing RL",Andres Felipe Restrepo,Rahul Chand,
Andrew Samuel Park submission_416280297/CS224R_Final_Project_Paper.pdf,Custom,Strong Sub-Agents in a Monitored “Private” Channel Under a Weak RL Supervisor,Andrew Samuel Park,Perry Dong,
Andrew Tin-Lok Lee submission_416121494/CS224R_Final_Report.pdf,Default,Curriculum Learning with Success-Rate-Driven Adaptive Gaussian Scheduler,Andrew Tin-Lok Lee,Anubha Mahajan,
Andy Sung Jae Kim Marco Antonio Vizcarra Tovar submission_416284152/cs224r_final_project.pdf,Default,Frontier Curriculum and Adaptive Test-Time Compute for Efficient RLOO,"Andy Sung Jae Kim, Marco Antonio Vizcarra Tovar",Anikait Singh,Honorable
Anish Chaudhuri Aniket Mahajan submission_416288572/CS224r_Final_Report.pdf,Custom,RL & Domain Randomization for Volt-VAR Control in Electricity Distribution Grids,"Anish Chaudhuri, Aniket Mahajan",Alex Nam,
Anna Luna Fisher Lopez Justin Choo Eric Martz submission_416281869/CS_224R_Final_Report.pdf,Custom,Scale-Based Curriculum Pretraining for Robotic Piano Performance,"Anna Luna Fisher Lopez, Justin Choo, Eric Martz",Megha Srivastava,
