PDF,Type,Title,Authors,Mentor TA
CS224R_Final_Report__1_ (2).pdf,Default,Outstanding Project: Efficient Arithmetic Reasoning in Small LMs via Function Calling,"Alina Hu, Ron Wang",Andy Tang
224r_final_project_report.pdf,Default,Outstanding Project: Reinforcement Learning Training for Dynamic Context Management in Mathematical Reasoning,"Batu El, Mehmet Hamza Erol, Hannah Park-Kaufmann",Anikait Singh
Reinforcement_Learning_For_Automated_Spectrometer_Calibration.pdf,Custom,Outstanding Project: Reinforcement Learning for Automated Spectrometer Calibration,"Amine Lamouchi, Martina Del Gaudio",Andy Tang
CS224R__Final_Project.pdf,Custom,Reinforcement Learning for Automatic Speech Recognition,"Ali Sartaz Khan, Prerana Rane",Shirley Wu
AvinashSinghRajputCS224R_final_project_FINAL.pdf,Custom,"Divide, Embed, Conquer: Role-conditioned MAPPO with Continuous Latent Embeddings",Avinash Singh Rajput,Annie Chen
CS224R_project_final_report (1).pdf,Default,RL Fine-Tuning of Language Models with GenRM-CoT,"Prabhjot Singh Rai, Anirban Chatterjee",Marcel Torne
Ballpy_Final_Report-5.pdf,Custom,BallPy: Bug Analyzing Local LLM for Python,"TJ Jefferson, Eli LeChien, Ben Pekarek",Jinny Chung
CS224R_Final_Report (20).pdf,Custom,Using RL to Generalize Robot Policies for Multiple Embodiments,"Ariel Bachman, Raúl Molina Gómez, Daniel Voxlin",Jensen Gao
CS_224R_Final_Report (4).pdf,Custom,2048: Reinforcement Learning in a Delayed Reward Environment,"Prady Saligram, Tanvir Bhathal, Robby Manihani",Sri Jaladi
Your_Project_Title (1)1.pdf,Custom,"Better Goals, Better Policies: Goal Representation for Offline Hierarchical RL","Yongce Li, Xiaoyue Wang",Pulkit Goel
CS224R_Final_Project__3_.pdf,Default,"A Multi-Stage Self-Optimization Framework for LLM Reasoning: Exploration, Structured Improvement, and Robust Inference","Virginia Chen, Sheng-Kai Huang, ChienTsung Huang",Jensen Gao
CS_224R_Final_Report_Bennett_Padmanabhan_Weissberg.pdf,Default,Data-Augmented DPO: Comparing Enhancements of SFT-Trained LLMs,"Austin Bennett, Rishi Padmanabhan, Jared Weissberg",Fengyu Li
CS_224R_Project_Report__3_.pdf,Default,Adaptive Test Time Compute for RL Fine Tuning,"James Chen, Grace Luo, Aarav Wattal",Andy Tang
CS224R_Final_Report_final.pdf,Default,Galaxy: Fine-Tuning Large Language Models with Reinforcement Learning,"Feiyang Zhu, Shutong Zhang, Siyuan Wu",Fengyu Li
final_report.pdf,Custom,Deep Reinforcement Learning with Action Chunks. Fine-tuning ALOHA robot,Dmitry Usanov,Marcel Torne
cs224r_final_project-1.pdf,Default,"Improving Test Time Inference via Learned Self Correction, Backtracking, and Verification",Jacob Householder,Joy He-Yueya
CS_224R_Final_Report (1)1.pdf,Custom,Reinforcement Learning in Mental Healthcare,Dean Barrow,Bassem Akoush
CS224R_Final_Report (1).pdf,Custom,Control Lyapunov Functions for Reinforcement Learning and Adaptive Control,"Alex Leonessa, Jordan Berg",Xingze Dai
CS_224R_Final_Report__3_1.pdf,Default,Exploration into RL-based Language Model Finetuning,Rui Chen,Pulkit Goel
Understanding_the_affect_of_RL_on_the_internal_representation_of_LLMs__1_.pdf,Custom,Understanding the effect of RL on the internal representation of LLMs,"Rahul Chand, Arpandeep Khatua",Arpandeep Khatua
Your_Project_Title__3_.pdf,Custom,Test-Time Stochasticity Estimation for Adaptive Action Chunk Selection,"Sarosh Khan, Ellie Tanimura",Jubayer Ibn Hamid
CS224R_Project_Final_Paper-4.pdf,Custom,Garen-teed Not a Bot - Realtime League of Legends Agent,"Rohan Tan Bhowmik, Gabriel Tsou-Hsian Tsai",Andy Tang
Your_Project_Title__1_ (1).pdf,Custom,Adaptive Multi-Agent Deep Reinforcement Learning for Unsupervised Online Optimization of Concurrent Asynchronous Dataflow Pipelines,Raed Al Sabawi,Jinny Chung
CS224R_Final_Report-3.pdf,Custom,Does Visual Latent Quality Improve Dreamer-Style Model-Based RL?,Hazel Chen,Yixin Li
CS_224R_Final_Report__3_.pdf,Custom,Optimizing Re-Masking Schedules for Reasoning in Discrete Diffusion Models,"Radostin Cholakov, Zeyneb N. Kaya, Nicole Ma",Joy He-Yueya
cs224r_final_report1.pdf,Default,Fine-Tuning Qwen-0.5B for Math Reasoning and Instruction Following,"Boyu Han, Haoran Jia, Shuchen Liu",Fengyu Li
CS224R_FinalReport__2_.pdf,Default,Beyond Strict Verification: Exploring Reinforcement Learning with Weak Verifiers,"Jon Saad-Falcon, Jordan Juravsky",Jinny Chung
Default_Project_Final_Report.pdf,Default,Reinforcement Learning-based Multi-Objective Optimization Methods for LLMs,"Chetan Nair, Ishaan Singh, Khanh Tran",Daniel Shin
CS224R_Final_Project-3.pdf,Custom,Evolutionary Population-Based Policy Optimization via High-Throughput Parallel Simulation,"Charlotte Ka Yee Yan, Asanshay Gupta",Jubayer Ibn Hamid
CS224R__Project_Report-2 (1).pdf,Default,Improving performance of a large language model on mathematical reasoning task through various fine-tuning and test-time compute methods,Witold Gawlikowicz,Zhen Wu
CS_224r_Final_Report (3)1.pdf,Custom,Reinforcement Learning for Pick(ing) and (Bank)roll: Applying Deep Q-Learning to NBA Regular Season Money Line Betting,Charles Shaviro,Jinny Chung
CS224R_Project_Report (1).pdf,Default,Exploring Curriculum Learning in Different Stages of Large-Language Model Fine-tuning,Jiaqi Wu,Anikait Singh
cs224r_final_report (16).pdf,Default,Critique-Guided Instruction Following on UltraFeedback,"Pooja Sethi, Marielle Baumgartner, Malisha Lutchmeea",Jubayer Ibn Hamid
